Tag name,Description,Variable name,Cluster,Years used,Tier,2019 equivalent,Note,Variable changed?
assessments for social-emotional skills and school climate,"The school uses strategies to assesses school climate, social-emotional, and noncognitive skills e.g. self-management, social awareness, relationship skills, belonging, etc.",assessments_sel,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,measures_sel,,checked
mental health services,The school offers (or partners to offer) comprehensive counseling and mental health services for students.,mental_health,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,mental_health,,
physical well being services,"The school offers (or partners to offer) comprehensive services to support the physical health and well-being of students, e.g. supports related to nutrition, housing, abuse, bullying.",physical_well_being,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,physical_health,,checked
trauma-informed instruction,"Adults in the school community are trained to recognize and respond to those who have been impacted by traumatic stress, and students are provided with clear expectations and communication strategies to guide them through stressful situations.",trauma_informed,Cluster A,2020 (early fall),Tier 2,,,
reallocation of resources for those most in need,Example: assigning most experienced and highest skilled teachers to students needing the most help.,reallocation_resources,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,reallocation_resources,,
hiring prioritizes equity-focused values,"Hiring practices are designed to result in new hires with equity-focused values. The school may employ specific innovations such as: students or community members on the interview committee, equity and positionality rubrics in use, hiring pool stays open until qualified diverse candidates are indentified.",hiring_equity,Cluster A,2020 (early fall),Tier 2,,,
expanded open hours,The school is open outside of normal hours and during vacations to support learning and offer services.,open_hours,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,open_hours,,
student-led conferences,Students plan and lead a meeting including parents and teachers to discuss the student's learning and growth. (As opposed to parent-teacher conferences without students present.),student_conferences,Cluster A,"2019 (spring),2020 (early fall)",Tier 2,student_conferences,,
social justice focus,"The school uses a social justice lens to design curriculum, instruction, policies, and community engagement. This could include work to understand and address large, complex social issues such as poverty, food insecurity, racism, and environmental justice.",social_justice,Cluster A,2020 (early fall),Tier 2,,,
dual language programming,A form of bilingual education in which students are taught literacy and content in two languages.,dual_language,Cluster A,2020 (early fall),Tier 2,,,
families as co-leaders,"The school involves families in shared decision-making, and communicates how family input has informed decision-making. This may include strategies such as participatory budgeting, family advisory groups, etc.",families_leaders,Cluster A,2020 (early fall),Tier 2,,,
projects as primary method of learning,"Projects are a central approach to learning core content and skills, rather than added on as extra activities once core content is covered.",projects_primary,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,projects_primary,,
interdisciplinary,"Projects and learning activities develop knowledge and skills across multiple subject areas and highlight connections between subject area domains, with formal collaboration among teachers across subject areas.",interdisciplinary,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,interdisciplinary,,
design thinking process,"Students engage in design thinking, a structured framework for identifying challenges, gathering information, generating potential solutions, refining ideas, and testing solutions.",design_thinking,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,design_thinking,,
service learning,"Students engage in meaningful community service to enrich the learning experience, learn civic responsibility, and strengthen their communities.",service_learning,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,service_learning,,
portfolios and public exhibitions of student work,"Students collect and share evidence of their work over time to demonstrate their learning and growth, and independently present their projects, reflect on their learning, and share progress towards their goals for an audience.",portfolios_exhibitions,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,"combination of ""portfolios"" and ""exhibitions""","Gregor: can this be a combination of ""portfolios"" and ""exhibitions"" from 2019 (if either is yes, this 2020 tag is yes)?",checked
real-world problem solving,"Student projects involve action steps to solve or meaningfully improve real-world problems (e.g. homelessness in their city, or a marketing challenge faced by a real company).",real_world,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,real_world,,
students develop projects,"Students are partners and leaders in designing, implementing, and assessing projects.",student_projects,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,student_projects,,
makerspace,Students can access a space and/or set of tools for use in building and designing creations.,makerspace,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,makerspace,,
place-based learning,"The school uses local knowledge, skills, issues, heritage, culture, and landscapes as the foundation for studying subjects across the curriculum.",place_based,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,local_focus,,checked
peer to peer support,"The school creates deliberate structures and processes for peer support, e.g. peer mentorship, peer tutoring, accountability partners, etc.",peer_to_peer,Cluster B,2020 (early fall),Tier 2,,,
assessments for deeper learning,"The school assesses deeper learning and 21st century skills beyond academic content mastery, e.g. communication, collaboration, critical thinking', etc.",assessments_deeper,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,measures_deeper,,checked
multiple ways to demonstrate mastery,"Students can demonstrate mastery in multiple ways (e.g. portfolio, oral presentation, test, group project, etc).",ways_mastery,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,ways_mastery,,
flexible staffing & alternative teaching roles,"The school makes creative use of human capital, e.g. through a tutor residency model, outside experts, master teachers or teacher mentors, etc.",flexible_staffing,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,flexible_staffing,,
flexible facilities & classroom design,"Design maximizes for flexibility and student choice, e.g. multi-purpose spaces, moveable walls, furniture can be arranged in different configurations, etc.",flexible_facilities,Cluster B,"2019 (spring),2020 (early fall)",Tier 2,flexible_facilities,,
real time data use to drive instruction,The school has created systems and routines to continuously monitor progress and tailor learning activities.,real_time_data,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,real_time_data,,
station rotation,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station.",station_rotation,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,station_rotation,,
individual rotation,Students rotate through online and other stations on individual schedules set by a teacher or software algorithm. Students do not necessarily rotate to every station; they rotate only to the activities scheduled on their playlists.,individual_rotation,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,individual_rotation,,
lab rotation,"Students rotate through stations on a fixed schedule, where at least one of the stations is an online learning station located in a dedicated computer lab.",lab_rotation,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,lab_rotation,,
flipped classroom,"Students learn at home via online coursework and lectures, and teachers use class time for teacher-guided practice or projects.",flipped_classroom,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,flipped_classroom,,
flex model,"Students move on fluid schedules among learning activities according to their needs. Online learning is the backbone of student learning, and teachers provide support and instruction on a flexible, as-needed basis.",flex,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,flex,,
interoperable data from multiple technologies,"Data from multiple platforms or software programs is integrated in a ""data dashboard"" reflecting overall student learning and progress.",interoperability,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,integrated_data,,checked
adaptive content,Content is adapted to individual learners (may be accomplished using adaptive learning software).,adaptive_content,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,adaptive_content,,
students access their own data,Students (and families) can access their own learning and assessment data in real time.,student_data,Cluster C,"2019 (spring),2020 (early fall)",Tier 2,student_data,,
grading policies focus on mastery,"Grades are reported on a standards-based report card, and focus on the specific competencies students are expected to develop.",grading_mastery,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,grading_mastery,,
flexible assessment schedule,"The school allows students to complete assessments when they are ready, rather than all at once on a fixed schedule.",assessment_schedule,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,assessment_schedule,,
competency framework,A transparent learning framework is used to align learning and assessment. What proficiency looks like at each performance level is available to students and families.,competency_framework,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,competency_framework,,
advancement on mastery,"Students advance to new topics when they have demonstrated mastery of previous competencies, rather than advancing with only a minimal passing grade.",advancement_mastery,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,advancement_mastery,,
multiple opportunities to demonstrate mastery,Students have more than one opportunity to demonstrate their learning in order to show they have achieved mastery.,opportunities_mastery,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,opportunities_mastery,,
performance based assessment,"In assessments, students apply knowledge or demonstrate a skill rather than selecting a correct answer on a test. ",performance_assessment,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,performance_assessment,,
students progress at own pace,Students determine their own pace in learning rather than being required to move at the same pace as a whole group.,student_pace,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,student_pace,,
student-led goal setting,"Students set and pursue their own learning goals, as well as self-assess their progress.",student_goals,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,student_goals,,
universal design for learning,"The school designs learning experiences to proactively meet the needs of all learners by identifying barriers to learning in the design of the environment, not in the student. This helps educators differentiate to effectively instruct a diverse group of students, regardless of whether students have an Individualized Education Program (IEP).",udl,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,udl,Demoted to Tier 2 tag (was T1 in 2019),
accommodations available to all students,Accommodations traditionally reserved for students with an IEP are available to all students.,accommodations,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,accommodations,,
individual learner profiles,"Profiles extend across multiple years of school and may include how the student is performing, as well as personal factors like who they are, what inspires them, and how they best learn. ",learner_profiles,Cluster D,"2019 (spring),2020 (early fall)",Tier 2,learner_profiles,,
teachers as co-leaders,"The school involves teachers in shared decision-making, and communicates how teacher input has informed decision-making. Teachers make decisions in areas such as school success, curriculum, budget, evaluating their colleagues, selecting personnel, and more.",teachers_leaders,Cluster D,2020 (early fall),Tier 2,,,
career training and preparation,"The school offers career-oriented learning opportunities, e.g. career tech and vocational training, interview practice, internships and apprenticeships, etc.",career_prep,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,career_prep,,
community and business partnerships,"The school has developed partnerships with businesses and the community, which may help facilitate experiential learning, internships, mentorships, etc.",community_partnerships,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,community_partnerships,,
extended learning opportunities,"Students can access credit-bearing learning experiences outside of the school (e.g. internship, service learning, training, etc).",extended_learning,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,outside_credit,,checked
enriched virtual model,"Students complete the majority of coursework online at home or outside of school, but attend school for required face-to-face learning sessions with a teacher. ",enriched_virtual,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,enriched_virtual,,
à la carte model,Students take an online course with an online teacher in addition to other face-to-face courses.,a_la_carte,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,a_la_carte,,
individual learning paths,Students identify and follow unique learning pathways that are relevant to their interests and passions.,learning_paths,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,learning_paths,,
assessments for career readiness,The school assesses students' readiness to enter the workforce and pursue a career path.,assessments_career,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,measures_career,,checked
students meet industry professionals,"The school brokers connections between students and industry professionals, including methods such as job shadows, video chats, etc.",meet_professionals,Cluster E,2020 (early fall),Tier 2,,,
students earn industry credentials,"Students can earn industry-issued or recognized credentials as a verification of a their qualifications or competence, in fields such as agriculture, hospitality & tourism, health, information technology, etc.",industry_credentials,Cluster E,2020 (early fall),Tier 2,,,
dual credit,The school offers students the option to take college credit-bearing courses before entering college.,dual_credit,Cluster E,2020 (early fall),Tier 2,,,
early college high school,"The school is a hybrid of high school and college, where all students take both high school and colleges classes simultaneously, earning credit towards a college degree.",early_college,Cluster E,2020 (early fall),Tier 2,,,
elimination of tracked classes,"Gifted programs are eliminated and barriers to advanced courses (e.g. AP, IB, honors) are removed so that no student is barred from accessing these opportunities. Remediation takes place throughout the regular scope and sequence so that ""lower level"" classes are removed.",elimination_tracking,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,elimination_tracking,,
student advisories,"Small groups of students meet regularly (daily or weekly, over multiple years) with adult advisors to set learning goals, reflect on progress, and build positive relationships.",advisories,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,advisories,,
1:1 mentoring,The school connects students with adults in and outside of the school for 1:1 mentoring and regular check-in meetings.,mentoring,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,mentoring,,
multi-age classrooms,"Classrooms include students of many ages, rather than grouping them by age or grade band.",multi_age,Cluster E,"2019 (spring),2020 (early fall)",Tier 2,multi_age,,
tutoring,"The school provides tutoring services to students. This may involve a partnership with an outside organization, or utilization of human resources beyond teachers, such as non-instructional staff, parents, or students.",tutoring,Cluster E,2020 (early fall),Tier 2,,,
fully remote,"Some students learn fully remotely, such as at home (no core instruction required at school).",fully_remote,COVID-19,2020 (early fall),Tier 2,,,
fully in-person,Some students learn fully at school (no core instruction required remotely or at home).,fully_in_person,COVID-19,2020 (early fall),Tier 2,,,
hybrid,Some students learn partially at home and partially at school (core instruction occurs in both settings).,hybrid,COVID-19,2020 (early fall),Tier 2,,,
rotating or staggered schedules,The school uses a rotating schedule to reduce total number of students on campus during in-person learning.,rotating_schedule,COVID-19,2020 (early fall),Tier 2,,,
half days,Some students attend school in the morning and others in the afternoon. ,half_days,COVID-19,2020 (early fall),Tier 2,,,
alternating days,"Some students attend school one day, and others the next. ",alternating_days,COVID-19,2020 (early fall),Tier 2,,,
alternating weeks,"Some students attend school one week, and others the next.",alternating_weeks,COVID-19,2020 (early fall),Tier 2,,,
families can choose instructional modality,families can choose instructional modality teachers can choose instructional modality synchronous online learning asynchronous online learning virtual enrichment activities remote accommodations at-home learning supports digital materials print materials,families_choose_modality,COVID-19,2020 (early fall),Tier 2,,,
teachers can choose instructional modality,"Teachers can opt into their instructional modality of choice (e.g. fully remote, fully in-person, or hybrid)",teachers_choose_modality,COVID-19,2020 (early fall),Tier 2,,,
synchronous online learning,"Online learning activities occur synchronously, where consistent groups of students participate at the same designated time.",synchronous_online,COVID-19,2020 (early fall),Tier 2,,,
asynchronous online learning,"Online learning activities occur asynchronously, where consistent groups of students participate on their own time when they choose.",asynchronous_online,COVID-19,2020 (early fall),Tier 2,,,
virtual enrichment activities,"Beyond core academics, the school the school engages students in enrichment activities while learning remotely.",virtual_enrichment,COVID-19,2020 (early fall),Tier 2,,,
remote accommodations,The school offers special education services to students learning remotely.,remote_accommodations,COVID-19,2020 (early fall),Tier 2,,,
at-home learning supports,The school offers guidance and training for families about how to support students learning remotely.,family_learning,COVID-19,2020 (early fall),Tier 2,,,
digital materials,"For remote learning, curricular materials are hosted and distributed digitally.",digital_materials,COVID-19,2020 (early fall),Tier 2,,,
print materials,"For remote learning, curricular materials are printed and distributed physically.",print_materials,COVID-19,2020 (early fall),Tier 2,,,
wraparound services & integrated student supports,"Schools seek to remove barriers to student success by locating, partnering, coordinating, and helping students access comprehensive services that complement and are aligned with effective instruction.",wraparound,,2019 (spring),Tier 1,,,
flexible staffing & infrastructure,"The school makes creative use of staffing, systems, and resources to support student-centered learning.",staffing_infrastructure,,2019 (spring),Tier 1,,,
learner agency,"Students have ownership over their learning by setting learning goals, initiating action toward those goals, and reflecting on their growth.",learner_agency,,2019 (spring),Tier 1,,,
"experiential, work-based & place-based learning","Students learn through real-world experiences inside and outside the classroom (e.g. internships and apprenticeships, service projects, projects in the community, career training).",experiential,,2019 (spring),Tier 1,,,
maker/design-centered learning,"Students learn through the creative process of design, resulting in either physical or digital creations. ",maker,,2019 (spring),Tier 1,,,
hiring practices in support of student success,The school's hiring process prioritizes candidates who bring mindsets that all students can succeed at the highest levels regardless of prior performance.,hiring_practices,,2019 (spring),Tier 2,,,
relevant and contextualized learning assignments,Teachers develop assignments and learning experiences that are relevant to students' interests and contextualized to their lives.,relevant_learning,,2019 (spring),Tier 2,,,
measures for purpose and agency,The school assesses students' development of purpose and agency.,measures_purpose,,2019 (spring),Tier 2,,,
take home devices,The school allows students to take home school-owned devices.,devices_home,,2019 (spring),Tier 2,,,
access to information in multiple formats,"Teachers offer students access to information and materials in multiple formats e.g. print, online, video, audio, hands-on, etc.",information_formats,,2019 (spring),Tier 2,,,
supports for immigrants and refugees,The school goes above and beyond to support immigrant and refugee students through additional resources and creative approaches.,immigrants_supports,,2019 (spring),Tier 2,,,
supports for high-poverty and homeless students,The school goes above and beyond to support high poverty and homeless students through additional resources and creative approaches.,poverty_supports,,2019 (spring),Tier 2,,,
supports for English Language Learners,The school goes above and beyond to support English Language Learners through additional resources and creative approaches.,ell_supports,,2019 (spring),Tier 2,,,
flexible schedule,A non-traditional approach to schedule that aligns with the school's mission and goals.,flexible_schedule,,2019 (spring),Tier 2,,,
high quality instructional materials,The school has adopted high quality instructional materials (e.g. green rating on EdReports or equivalent),quality_materials,,2019 (spring),Tier 2,,,
design at the margins,"Design and innovation prioritizes the needs of historically marginalized students and families. Marginalized people are leaders, participants, and beneficiaries in the design process.",design_margins,,2019 (spring),Tier 2,,,
data analytics drive instruction,"Data analytics are accessible to teachers, understandable by teachers, and are used by teachers to inform instruction.",data_instruction,,2019 (spring),Tier 2,,,
commitment to equity in strategic plan,"The school's strategic plan includes an explicit commitment to equity including clear goals, a plan to meet them, methods of assessing progress, and accountability to marginalized students and families.",equity_plan,,2019 (spring),Tier 2,,,
supports for students off-track for graduation,The school goes above and beyond to support students off-track for graduation through additional resources and creative approaches.,graduation_supports,,2019 (spring),Tier 2,,,
open educational resources,"The school has a coherent strategy for delivering core curriculum using free, open resources.",oer,,2019 (spring),Tier 2,,,
student exhibitions,"Students independently present their projects, reflect on their learning, and share progress towards their goals for an audience.",exhibitions,,2019 (spring),Tier 2,,,
connecting local and global,"Local learning serves as a model for understanding global challenges, opportunities, and connections.",local_global,,2019 (spring),Tier 2,,,
measures for school climate,The school uses measures for school climate/culture to learn how students experience the school culture.,measures_climate,,2019 (spring),Tier 2,,,
commitment to whole child or SEL in strategic plan,Development of the whole child and social-emotional competencies are a core part of the school's strategic plan.,sel_plan,,2019 (spring),Tier 2,,,
measures for college readiness,The school uses measures for students' readiness to enter and complete college.,measures_college,,2019 (spring),Tier 2,,,
rigorous coursework for all students,For example: ensuring marginalized students are receiving appropriately challenging material; recruitment of underrepresented students for AP or IB courses.,rigorous_coursework,,2019 (spring),Tier 2,,,
