Lat	Lon	School Name
35.49306865	-119.2869049	Grimmway Academy Shafter
38.88251	-76.934221	Promise Academy
36.985329	-86.947266	Lewisburg Elementary
30.316754	-97.657491	Magnolia Montessori For All
32.91921	-97.005521	Irving Elementary
32.646094	-97.086571	Arlington STEM Academy
39.780259	-104.837582	McGlone Academy
42.329361	-83.877903	Mill Creek Middle School
39.787013	-86.112837	Paramount Brookside
35.590179	-80.80147	Park View Elementary
34.476869	-91.55748	Stuttgart Junior High School
40.688515	-73.93563	Ember Charter School for Mindful Education, Innovation, and Transformation
39.758904	-105.018399	Escuela Valdez
36.070739	-86.725266	Valor Flagship Academy
29.687685	-95.22912	Williams Elementary School
32.21295331	-80.70996032	Hilton Head Christian Academy
37.77817644	-122.4460281	San Francisco Day School
45.08248355	-93.3337064	St. Alphonsus Catholic School
36.794477	-119.83641	Aspen Valley Prep Academy
34.165223	-118.562771	CHIME Institute's Schwarzenegger Community
40.561241	-122.241781	Chrysalis Charter School
37.568093	-77.455023	CodeRVA Regional High School
42.362346	-82.997944	Detroit Prep
43.637136	-116.244927	Future Public School
47.470667	-122.288023	Impact | Puget Sound Elementary
32.915861	-97.003234	Leadership Academy
34.322808	-77.878962	Southeast Area Technical High School (SEA-TECH)
40.83263	-73.878351	Comp Sci.High
43.613448	-72.545459	Woodstock Union Middle/High School
37.84737	-122.283621	Yu Ming Charter School
42.25097786	-83.73667321	A2 Virtual + Academy
40.43944811	-80.00247511	City of Bridges High School
38.92871444	-77.0357017	Next STEP High
44.1896305	-72.49373566	Central Vermont Career Center
44.81191482	-73.08358879	Bellows Free Academy
44.509068	-72.36461192	Hazen Union High School
44.9280073	-73.1018239	Missisquoi Valley Union Middle and High School
42.12014222	-88.04172963	Quest Academy
34.15283409	-86.74038797	Legacy Prep
33.53739045	-86.76329641	i3 Academy
33.9307222	-118.3256642	Learn4Life Inglewood - Alta Vista Innovation High
39.81242761	-86.06967469	Rooted School Indianapolis
42.44498676	-88.2371771	Spring Grove School
33.55359253	-84.37772187	The Forest School
40.07097189	-74.8523937	Burlington City & Lake Semester
41.94630428	-86.33993762	Link Learning
42.31954816	-85.18645094	West Michigan Virtual Academy
